"duration","f0slope","f0peak","intensity","f1","stress","f0mean"
0.226,"-266.666666666667","159","50","280","n",129
0.128,"-86.9565217391304","122","50","273","n",118
0.155,"-252.33644859813","136","52","655","y",120
0.118,"-292.452830188679","138","46","323","y",117
0.068,"-166.666666666667","113","39","611","n",111
0.22,"-4454.54545454547","217","54","480","y",177
0.143,"-168","149","45","528","n",139
0.073,"-69.7674418604652","128","52","379","n",126
0.121,"-307.692307692307","131","46","365","n",126
0.169,"-115.646258503401","112","45","524","n",104
0.296,"-139.53488372093","91","36","830","n",84
0.138,"-339.285714285714","120","75","634","y",104
0.057,"-615.384615384616","118","70","322","n",99
0.128,"-166.666666666667","83","55","700","n",80
0.101,"-43.956043956044","108","77","393","n",107
0.122,"255.102040816327","138","75","472","n",121
0.152,"72.1649484536079","109","78","670","y",105
0.118,"174.418604651162","131","74","347","n",122
0.235,"-56.8720379146919","106","76","429","n",99
0.151,"-218.181818181819","111","75","380","y",106
0.101,"-181.81818181818","94","69","516","n",88
0.133,"-315.789473684208","82","58","1174","n",79
0.228,"-96.969696969697","107","72","484","n",95
0.151,"-120.300751879699","116","75","406","y",106
0.201,"-100","104","69","361","n",99
0.298,"333.333333333333","99","64","842","n",86
0.174,"53.4351145038168","111","76","396","n",107
0.123,"135.135135135135","129","75","457","y",121
0.164,"-183.673469387755","117","74","635","n",98
0.108,"-123.711340206186","115","73","265","y",108
0.154,"-151.079136690647","113","74","480","n",99
0.088,"-63.2911392405062","109","75","360","y",106
0.155,"-78.5714285714286","100","69","312","n",96
0.058,"-250","95","64","637","n",89
0.178,"-68.3229813664596","109","77","435","n",101
0.126,"-79.646017699115","121","79","431","y",113
0.096,"-127.906976744186","102","76","475","n",98
0.076,"-196.72131147541","97","71","712","n",93
0.091,"-222.222222222223","83","61","737","n",80
0.147,"-470.588235294118","115","76","608","n",103
0.09,"-235.294117647059","124","77","305","y",118
0.138,"-99.9999999999999","104","77","498","n",99
0.12,"-64.8148148148149","114","77","408","y",110
0.149,"-142.857142857143","106","71","347","n",96
